DepositoNum;1632,14;20;30/05/2020 17:40:31;DEP-Num;pt12345678901234567890123
DepositoTransf;1612,14;20;30/05/2020 17:40:53;DEP-Trans;pt50123987654123987456951;Isabel
DepositoMB;1592,14;20;30/05/2020 17:41:43;DEP-MBWay
DepositoMB;1572,14;20;30/05/2020 17:42:57;DEP-MBWay
DepositoNum;1592,14;20;30/05/2020 17:57:48;DEP-Num;pt12345678901234567890123
DepositoTransf;1572,14;20;30/05/2020 17:58:02;DEP-Trans;pt12345678901234567890123;Marisa
DepositoTransf;1552,14;20;30/05/2020 18:00:48;DEP-Trans;pt12345678901234567890123;Ricardo
DepositoNum;1752,14;200;30/05/2020 18:01:48;DEP-Num;pt12345678901234567890123
DepositoMB;1552,14;200;30/05/2020 18:01:51;DEP-MBWay
TransNum;777,1400000000001;205;30/05/2020 18:17:48;TRA-Num;pt12989879876549877531593;Ruca
TransMB;757,1400000000001;20;30/05/2020 18:18:08;TRA-MBWay
PagServiços;737,1400000000001;20;30/05/2020 18:18:28;PAG-Serv;20547;206205987
PagEstado;717,1400000000001;20;30/05/2020 18:18:36;PAG-Est;206205987
PagTelemoveis;697,1400000000001;20;30/05/2020 18:21:18;PAG-Tel;917754789;205987471;;vodafone
PagEstado;677,1400000000001;20;30/05/2020 18:22:01;PAG-Est;202852951753
PagTelemoveis;477,1400000000001;200;30/05/2020 18:22:26;PAG-Tel;917766554;200585214;;Vodafone
